x,y,vars,range,sill,smooth,major_range,minor_range
-1219783.5791552542,-817281.5844939249,1.155071415800328,11673.412789351049,1.1445589443496564,5.709103981534762,16041.844690968954,14107.081285383489
-1161011.1588871996,-781178.468142439,0.5090517654961528,9974.229367138527,0.5068556369296141,2.4894557775493804,8405.959555601356,14381.120942515076
-1154474.2428864727,-762553.189519837,0.49636678373472537,8937.904838179571,0.49597026369553826,1.9490461888223498,7119.245830354767,14389.124160859472
-1150694.134474157,-837776.8684691988,1.0499861663993149,19130.43585301073,1.2746640752389955,1.363666174001829,17232.042960479837,29999.999999999996
-1207014.0823819016,-899461.2599617131,1.2978976117993326,15245.322250420315,1.421464810904159,19.999999999996163,16311.529627291082,12715.185844329584
-1245398.0354611601,-812738.7176774143,1.4937991350299433,14163.90642984977,1.621207218295828,19.99999999998093,9257.967423974862,11531.34555592874
-1249302.5077803116,-850635.9246243523,1.9840498755451552,15586.75794712204,2.435253759182326,2.202098629213782,17095.919192843863,29999.999999999996
-1184875.4717528224,-807944.7475223244,0.772816347821861,13414.003535956595,0.7406124404097185,1.5285602607231943,11209.309660936919,13560.969321643517
-1232890.5069466413,-867001.256669952,1.6545792766475775,13481.79098282571,1.9947596097433762,3.9216166853789662,12272.681533320083,19398.98138668182
-1199241.9256002328,-883183.3628110954,1.3372984748904606,14851.013052285787,1.4374356382216513,3.1857708571383774,18320.26501406419,18128.02321893136
-1238582.5415341062,-757625.98725686,0.918960164410624,11370.084894412079,0.9722708613700651,8.868020791304707,14275.67902063426,9960.357899500345
-1186530.4739205472,-776638.2496720018,0.5794802825850306,10335.790470776763,0.5844029851416159,3.3615764879482444,8895.066833780083,16592.97132666544
-1221345.5305112954,-773326.8300577243,0.791819212695183,12815.82143170136,0.8362517221637192,2.0107163844068463,9975.16758450486,11596.301347637676
-1230884.451884874,-800021.4954328982,1.1060164701026518,11224.980503478075,1.1006918276658604,19.99999999999993,12158.417532502643,12549.372543621172
-1214954.364360492,-750393.1557231301,0.7553700692093166,13090.264330007423,0.7923274399329799,9.915414918112376,12723.14057019295,11203.063481769965
-1164182.137677611,-814719.247587999,0.7823754123441488,17037.421181254467,0.8654711044047535,1.2946481162510783,15339.132714875577,13398.785510398595
-1226272.7406628167,-783212.7490505504,0.860764791144234,11532.363110750213,0.8725024406036093,3.6983035858276114,29999.99999998094,9361.937295864771
-1194623.6179374922,-859297.8617189474,1.3466332118745,14614.308907006141,1.480850169313095,2.7861097585815346,8227.473473962324,15089.523982463468
-1152875.8618518037,-863601.2193650561,1.2441168530198752,21131.19227918449,1.6230475384917367,4.015531133274483,14916.087051051425,19007.79343796138
-1181083.0545568997,-888376.4993143698,1.2452609011820446,16842.593063602555,1.476817032323391,2.7750673958840535,18372.316073069884,12170.76900419521
-1243323.1611809258,-893950.2201470594,2.110148997934073,13543.094817216828,2.4770804161119355,3.0953155836309527,29999.99999999981,14109.960326083696
