x,y,vars,range,sill,smooth,major_range,minor_range,azimuth
-689771.9310051464,-5337.966332938056,1.4518679335596147,95634.9707867063,1.450979101667585,0.5,28385.36875145608,242593.57525917588,155.9211
638762.4145138608,1660534.8432266526,0.9583676460721795,104372.71916897126,0.9656838882756158,0.5,40079.27884260118,49469.30307203475,72.79648
1706176.5966053149,-654086.7937578186,0.6508229483860736,88852.2984049757,0.6992442683443166,1.5,78533.83523055466,249999.99999999997,-10.91204
1280592.770969591,-1922301.799529763,0.960809672674385,76778.3113078946,1.016443182080456,0.608743001714444,132586.1166131823,64123.78760833311,-71.58236
772507.6259478494,-1678572.7785006643,1.0305069350832379,30488.594965613185,1.054762487477772,0.8982949306132011,19118.132779850923,51999.84362836542,115.98968
599076.7233613376,-915330.1739909719,0.9712700688654504,42473.69129025058,0.9581751311552129,0.6886968740082774,22651.291630449912,78935.72195352228,-177.96617
2296427.4679222433,-133063.22945822123,0.584665146046339,35362.854697658666,0.44679183488646657,0.6182472798683922,25662.040535785327,249999.99999999997,30.138575
1496832.5844572447,-1368482.2247268744,1.45785169278837,90635.26504555724,1.436561191894023,0.7540635906119596,111734.72252886552,51735.0083392084,-102.59084
1536920.7129363148,-24385.4996576556,0.6589548873235876,99179.52329681128,0.7030618379270553,0.5,249999.99999999997,249999.99999999997,74.829315
928658.8187178867,-24718.35881569283,1.0710906102243571,38267.36961690494,1.094596301613839,0.7995062867243905,32403.470872194182,29088.889938339482,-135.93146
-1517722.7832570614,-42061.58214870421,0.8685979908771327,44290.038823318966,0.7759356138811924,1.5,41510.18411809446,44692.06654775656,-160.10843
265387.903579046,1440014.3534744978,0.3391084076617253,33618.66548997256,0.3463753195232467,0.6441697892324058,21222.26136270733,49575.8593569733,-152.85896
-1545640.200146545,-400738.94223457575,0.47120838549412736,37311.12597042109,0.4355752656844197,1.5,249999.99999999997,28219.84405074798,-131.03145
1231364.5579217141,-267958.3058290519,0.5709573937732351,55916.27794977181,0.5885268435716953,1.5,46618.16684041028,83077.82674006435,-107.44455
1650152.5002984274,-869185.8659132873,0.588282162001144,120702.06953783568,0.6617455661307846,1.2420240453351594,82000.97507411487,225992.45030394965,-26.891468
2183475.0259238835,1117366.6049396787,0.6893917790944181,39444.97059716061,0.6966518594423824,0.5,20601.744662771533,249999.99999999997,55.955585
-1044491.9361067005,-358945.7589733312,0.7600571737854739,68429.19160687074,0.7664941805967227,0.5,60338.577977437395,115778.4036713641,-81.05403
1499196.511202206,1699860.2228922583,0.41028009894501627,68161.42783477,0.4189272267485724,0.5,52604.60148529177,53266.41608417251,135.41104
1305579.8359432453,1185968.620119594,0.46255809456041247,109127.17239572889,0.48766311025217124,0.5,249999.99999999997,122954.42208258553,40.562435
-1766336.5738726386,-224305.57834678702,0.5720237342179674,49417.67817425865,0.5964889288898442,1.280357628352295,49531.54012476502,59983.14056238656,-151.00203
-1146225.9568963922,122991.97644584253,2.0477074405324673,46730.57542152017,2.223857898750206,1.3537022299417416,37236.62589004861,38406.451600002816,-153.1394
1653072.4475635635,1515317.6199680455,0.7300267985372454,130014.51549706915,0.7689037417143116,0.5,179155.43471136063,152603.72881480973,67.96456
-400495.6367325536,1975071.942392162,0.48837370290192483,147568.7539009094,0.5437580249230131,0.5,249999.99999696962,70119.24335346471,-13.541761
1251676.2467615614,1659718.6954935435,0.5155017221613079,91822.47381652976,0.5741450982630849,0.5,232822.535027844,119492.12645724708,-7.639615
-1093535.9376284452,-199417.7183366092,1.422940186383234,73102.26504495145,1.453446388292167,0.5,96320.5818830759,32253.25505143735,145.4708
1363579.6515549235,1614877.109902895,0.47696993013108513,68967.78751786724,0.4784884424325059,0.5,52893.79350761878,249999.9999999995,83.6831
752155.5798328007,-1412738.2712539989,0.579891311261192,32239.76632108488,0.6167990862238643,1.2824323859387412,25691.11845375451,42364.83875643463,-143.2246
1916953.7898363099,871456.4006909262,1.002187376661558,72993.70430916011,1.0970236824085164,0.5,43438.00991349739,149469.24914610077,-44.243668
166814.1522356714,1074239.7588064168,0.6882380472586358,94731.61052756617,0.7913141406707159,1.1367007250733245,249999.99999999956,50329.2040901101,-167.41325
45571.40836775396,-257774.62149437936,1.2095824699615192,20688.87800518397,1.135979737395201,1.5,22435.62713601348,21876.945260517292,-58.17359
-61418.99590040976,1481508.3246372202,0.5545918995006535,46412.17499586614,0.5346687743345157,0.7936869355494729,83638.90362220509,40954.81838452767,-155.73589
-591062.08092628,-453779.16201737756,0.6055407015392746,249999.99999999997,0.5900141314816337,0.5,249999.99999999948,125073.12005285599,-32.712013
1300954.638342158,604831.5137027684,1.3294929041091983,49359.23065149952,1.3352530592898166,0.7346239351713264,76332.40667120088,46449.07395376756,21.322304
27586.35534602031,1785645.1790710865,1.1353825053923032,57489.42652866198,1.2031259921359692,0.8200073272138901,84632.30490236355,40603.86129623865,125.53291
